what is the [sylvia_brett] other half father place of birth	burnham-on-sea
what is the [archduke_johann_of_austria] mother father religious belief	catholicism
what is the name of the grandreligious belief of [archduke_johann_of_austria] mother	catholicism
what is the [archduke_johann_of_austria] mom parent nationality	spain
the nationality of [archduke_johann_of_austria] mom parent	spain
the cause of death of [archduke_johann_of_austria] mother mother	tuberculosis
[archduke_johann_of_austria] mother mother cause of death	tuberculosis
the place of birth of dad of [archduke_johann_of_austria] parent	dresden
the child of [archduke_johann_of_austria] parents father	gabriel_de_borbon
what is the name of the son of parent of [archduke_johann_of_austria] parents	charles_iv_of_spain
[archduke_johann_of_austria] parent daughter occupation	cardinal
the children of offspring of [princess_louise_charlotte_of_denmark] children	prince_albert_victor_duke_of_clarence
the parent of [princess_louise_charlotte_of_denmark] daughter offspring	christian_ix_of_denmark
what is the parent of offspring of [princess_louise_charlotte_of_denmark] daughter	christian_ix_of_denmark
who is the husband of kid of [princess_louise_charlotte_of_denmark] kid	alexander_iii_of_russia
what is the cause of death of child of [isabel_princess_imperial_of_brazil] mother	yellow_fever
[claudius] father children cause of death	starvation
what is the [claudius] father children cause of death	starvation
who is the couple of kid of [claudius] dad	julius_caesar_drusus
what is the parent of [claudius] father kid	antonia_minor
the parent of [claudius] father kid	antonia_minor
who is the nationality of heir of [prince_christian_victor_of_schleswig-holstein] father	united_kingdom
the nationality of heir of [prince_christian_victor_of_schleswig-holstein] father	united_kingdom
what is the place of death of heir of [prince_christian_victor_of_schleswig-holstein] parents	pretoria
what is the institution of [prince_christian_victor_of_schleswig-holstein] dad son	magdalen_college_oxford
the dad of daughter of [prince_christian_victor_of_schleswig-holstein] dad	princess_helena_of_the_united_kingdom
what is the name of the job of parents of [julia_lennon] children	homemaker
the job of parents of [julia_lennon] children	homemaker
what is the [julia_lennon] child mother sex	female
what is the sex of mother of [julia_lennon] child	female
the child of dad of [julia_lennon] son	john_lennon
what is the child of dad of [julia_lennon] son	john_lennon
what is the place of birth of son of [grand_duke_george_mikhailovich_of_russia] parent	tbilisi
the place of birth of [grand_duke_george_mikhailovich_of_russia] parent son	tbilisi
what is the father of [inge_i_of_norway] parent heir	harald_iv_of_norway
what is the name of the father of heir of [inge_i_of_norway] parent	harald_iv_of_norway
the sex of [inge_i_of_norway] mother parents	male
what is the nationality of [ramon_berenguer_ii_count_of_barcelona] dad dad	spain
the nationality of [ramon_berenguer_ii_count_of_barcelona] dad dad	spain
the gender of darling of [ramon_berenguer_ii_count_of_barcelona] parents	female
the gender of [ramon_berenguer_ii_count_of_barcelona] parents darling	female
what is the father of kid of [tasha_tudor] mom	william_starling_burgess
who is the father of kid of [tasha_tudor] mom	william_starling_burgess
the spouse of other half of [clotaire_i] spouse	radegund
[princess_louise_of_denmark_and_norway] daughter mother place of birth	christiansborg_palace
who is the place of birth of mother of [princess_louise_of_denmark_and_norway] daughter	christiansborg_palace
